appid,name
674460,Oats Studios - Volume 1: God - Serengeti
674570,Bear Football
673810,Infinite Sunshine Dust
674120,Cruentis The Murderer vol.1
674160,Slasher VR
673240,Room 54
673310,Adam Waste
672840,Deceit - Werewolf Pack
673030,Damned Hours Demo
672420,Netherworld
672690,The Nothing
672730,Find You
671900,Devoid of Shadows
671980,Close Me
671920,Dead Secret Circle
672130,Damned Hours
671510,Desolate
670620,SURV
670160,D'LIRIUM
670290,Real Pool 3D - Poolians
670430,Colorless Life
669950,BDSM: Big Drunk Satanic Massacre
669300,Oats Studios - Volume 1: FIREBASE
668590,Omen Exitio: Plague
668890,Hiking Simulator 2017
668350,Higurashi When They Cry Hou - Ch.6 Tsumihoroboshi
667150,Detective Butler and the King of Hearts
667170,Undead Souls
667270,The Miserable Crimson Hooded Girl
667340,Anxiety
667330,Forbidden Trip | 禁断の旅
667010,Dracula: Vampires vs. Zombies
666820,Skirmish Line
666240,Nascence
666310,Space of Darkness
666620,Behind These Eyes
666020,Shark Dating Simulator XL+
665490,The Monster Inside
665670,Enlysia
664850,8-bit Adventure Anthology: Volume I
664880,HEVN Demo
665140,Midnight at the Red Light : An Investigation
664460,Ultimate Summer
664010,La Llorona Wants Your Soul
664090,Eternity Warriors™ VR
663390,Rento Fortune - Multiplayer Board Game
662380,Project X
661790,Witch Hunt
662190,The Secret Order 6: Bloodline
661330,Layers
661490,Insert Paper
661450,The Lighthouse
661230,Progress Bar Simulator
661240,Visitors: Marine Invasion
660800,Blossoming Yandere 満開 ヤンデレ
660740,Oats Studios - Volume 1: Cooking With Bill - Damasu 950
660180,Seduction
659480,The Initiate
659190,"Sorry, James"
658620,Wonderful Everyday Down the Rabbit-Hole
658600,Lawnmower Game
658920,Half-Life 2: VR Mod
658340,Edge of Insanity
658120,Mad-Sector
657990,Crafting Dead
657350,White Noise 2 - Okiku
657200,Hand Simulator
657040,The Myth Seekers: The Legacy of Vulcan
655770,Crimson Gray
655790,Fly Simulator
655730,This Strange Realm Of Mine
655080,Crazy Ball Adventures
655160,welcome to heaven
655270,EPONYMOUS
655250,Insectophobia : Episode 1
654550,Football Game
654850,Masked Forces: Zombie Survival
654960,The Eldritch Zookeeper
655000,Masked Forces 2: Mystic Demons
654230,Phantasma Demo
654470,Blood Waves
654020,Ben The Exorcist
653940,Zafehouse Diaries 2
653530,Return of the Obra Dinn
652600,Descent - Silence of Mind
652410,Brigand: Oaxaca
652190,Emily Wants to Play Too
651640,The Spook Inspectors
650880,Beyond the Invisible: Evening
651280,TinkerQuarry
650570,Code 7: A Story-Driven Hacking Adventure
650820,Psychic Isolation
650710,Code 7 - Episode 0: Allocation
649890,Caliban Below
650330,Sanator: Scarlet Scarf
649960,Happy Lab
649580,Twins of the Pasture
649150,Phobia
649450,Deadly Escape
648270,I See Your Pain
648390,Marie's Room
648100,Raging Loop
647500,Near Death Experience
646900,Affliction Roleplaying Game DLC
